question,answer,ground_truth,contexts
O que é Ransomware?,"Ransomware é um tipo de malware cibernético que bloqueia o acesso ao sistema ou dados do usumediate, exigindo uma caução em dinheiro para liberar o mesmo. As vítimas são informadas através de mensagens mostrando os valores exigidos e as potenciais consequências se não forem pagos dentro de um determinado período de tempo, geralmente cometendo crimes como extorsão ou roubo digital.",Malware que criptografa dados e exige resgate.,[]
O que é Phishing?,"Phishing é um tipo de fraude eletrônica em que o perpetrador se passa por uma entidade confiável para enganar indivídeus a fornecer informações pessoais sensíveis, como nomes de usuário, senhas e detalhes bancários.",Engenharia social via mensagens falsas para roubar dados.,[]
O que é MFA?,"MFA significa Autenticação Multi-Fator, um método para proteger as contas digitais verificando mais do que uma senha antes de dar acesso ao usuner. Normalmente envolve pelo menos dois fatores: algo que o usuário sabe (senha), algo que ele tem (telefone celular, dispositivo hardware) e algo sobre seu comportamento ou localização (biometria). A MFA pode ser uma série de mensagens SMS para verificação por telefone. O objetivo é aumentar a segurança ao exigir mais do que apenas uma senha para conferir identidade do usuário antes dacesso permitido a um sistema ou rede digital.",Autenticação que exige dois ou mais fatores de verificação.,[]
Diferença entre IDS e IPS?,"IDS (Sistema de Detecção de Intrusões) é um sistema que detecta, mas não bloqueia intruders; Já o IPS (Sistema de Prevenção de Intrusões) está implícito na detecção e realiza ações para evitar ou mitigar possíries.",IDS detecta e alerta; IPS detecta e bloqueia a ameaça.,[]
O que é SQL Injection?,"SQL Injection é um tipo de ataque cibernético onde o atacante insere comandos no banco de dados do site, potencialmente permitindo acesso não autorizado e manipulação dos dados. É uma vulnerabilidade séria em aplicações web que salvam ou recuperam informações do usuário diretamente para as tabelas relacionadas ao banco de dados utilizando construções SQL na linguagem da aplicação, como por exemplo: 
`""SELECT * FROM USUARIOS WHERE ID = '"" + entrada_do_usuario + ""';""` Se um atacante injetar tal comando (por exemplo `""1' OR 'X'='X`), ele pode obter acesso total ao sistema ou causar danos intencionais.",Inserção de código SQL malicioso em campos de entrada.,[]
O que é um ataque DoS?,"Um ataque DoS, ou ""Denial of Service"", visa sobrecarregar a infraestrutura da rede de alguém para torná-la indisponível para seus usu endpoint. Isso pode ser alcançado por meio de diversos métodos que envolvem enviar uma quantidade excessiva de tráfego ou solicitações ao sistema, consumindo os recursos do servidor e impedindo acesso legítimo aos serviços da rede afetada.",Negação de serviço para tornar um recurso indisponível.,[]
O que é um ataque DDoS?,"Um ataque DDoS (Distributed Denial of Service) é uma tentativa maliciosa de bloquear o acesso aos serviços em uma rede, geralmente causando sobrecarga ao alvo. Isso é feito enviando enormes volumes de tráfego para um único endereço IP ou conjunto de servidores por meio de um grande número de dispositivos infectados com malware (um botnet).",Ataque de negação de serviço distribuído usando múltiplos dispositivos.,[]
O que é o princípio do Privilégio Mínimo?,"O Princípio do Privilégio Mínimo refere-se à ideia de que uma pessoa deve ter apenas acesso aos dados necessários para realizar sua função específica, sem mais informações desnecessárias. Isso é crucial para manter a confidencialidade e integridade dos dados protegidos por privilégio.",Dar ao usuário apenas o acesso estritamente necessário.,[]
O que é Criptografia Assimétrica?,"Criptografia assimétrica, também conhecida como criptografia de chave pública, é um método criptográfico pelo qual uma única chave privada pode ser usada para descriptografar mensagens e a mesma chave pode servir como cadeia público para criptografá-las.",Uso de um par de chaves: uma pública e uma privada.,[]
O que é Criptografia Simétrica?,"Criptografia simétrica, também conhecida como criptografia de chave única, é um método onde uma única chave secreta é usada tanto para cifrar quanto para descriptografar dados. Ambas as partes que se comunicam precisam dessa mesma chave e devem a ela manter privado o seu conhecencia ou obtê-la de outra forma segura, pois caso contrário os seus dados são expostos. É amplamente utilizada devido à sua rapidez na criptografia/descriptografia em comparação com métodos simétricos mais complexos mas menos rápidos. No entanto, o seu principal desafio é a troca segura da chave entre as partes que se comunicam sem que fique exposta ou possa ser interceptada por terceiros maliciosos durante a transmissão.",Uso da mesma chave para criptografar e descriptografar.,[]
