question,answer,ground_truth,contexts
O que é Ransomware?,"Ransomware é um tipo de malware criptografico que bloqueia o acesso aos arquivos em uma rede, geralmente exigindo pagamento por desbloqueio. Os atacantes usam esses programas para infectar sistemas e então executam scripts complexos que impedem os usuários de recuperar seus dados até terem pago o resgate ao sequestrador do ransomware, normalmente em uma forma digital como criptomoneda (por exemplo, Bitcoin). O ataque pode ser combinado com outras formas de ciberataque para maximizar danos e pressionar os alvos a pagar. As instalações infectadas por ransomware são frequentemente adicionadas às listagens do dark web, tornando o sequestro mais urgente e potencialmente complicado de resolver sem retorno seguro ao pago ou desbloqueio completo da criptografia. 
Evite permitir que usuários não autorizados tenham acesso às redes Wi-Fi, pois isso pode levar aos atacantes explorar esta vulnerabilidade para executar ataques de infecção por meio das conexões maliciosas. 
Além disso, é crucial ter planos contínuos e em constante revisão que abordem a segurança contra ransomware e outros tipos de ciberataques para proteger os ativos digitais da organização ou pessoal. Isso inclui manutenção regular das ferramentas antivírus, treinamento contínuo dos funcionários sobre precauções ao usar redes Wi-Fi públicas e acessar conteúdo potencialmente malicioso, bem como testes de penetrância para identificar vulnerabilidades no sistema. 
Ransomware pode ter impactos graves na rede além da perda dos dados individuais ou organizacionais: o ataque também pode causar interrupções nas operações comerciais, levar a danos materiais e prejudicar a imagem pública. Portanto, é importante que os indivíduos tomem medidas para reduzir as chances de infecção por ransomware adotando precauções avançadas ao se conectarem à internet em redes públicas e manter seus sistemas atualizados com o mínimo possível. Por último, esteja ciente do fato de que não há garantia sobre a liberação dos dados após um pagamento ser feito - portanto, priorize as medidas preventivas para evitar esses incidentes antes mesmo de se deparar com uma situação desse tipo.",Malware que criptografa dados e exige resgate.,"['SQL Injection é uma vulnerabilidade de segurança que ocorre quando um atacante\nconsegue inserir comandos SQL maliciosos em uma consulta ao banco de dados.\nIsso pode permitir acesso não autorizado, vazamento de dados ou destruição de tabelas.', 'SQL Injection é uma vulnerabilidade de segurança que ocorre quando um atacante\nconsegue inserir comandos SQL maliciosos em uma consulta ao banco de dados.\nIsso pode permitir acesso não autorizado, vazamento de dados ou destruição de tabelas.', 'SQL Injection é uma vulnerabilidade de segurança que ocorre quando um atacante\nconsegue inserir comandos SQL maliciosos em uma consulta ao banco de dados.\nIsso pode permitir acesso não autorizado, vazamento de dados ou destruição de tabelas.']"
O que é Phishing?,"Phishing é um tipo de ataque cibernético em que os atacantes se disfarçam como uma entidade confiável para enganar as pessoas a fornecer informações sensíveis, como nomes de usuряд/n\ufb81cks da senha e detalhes do cartão. Essa técnica pode ser realizada por meio de mensagens fraudulentas (frequentemente chamadas de ""email phishing""), que apelam para a superfície emocional, levando o destinatário a clicar neles ou abrir anexos perigosos. Os ataques podem levar ao roubo de identidade e propriedade digital. É importante ser vigilante quanto aos links e endereços nos emails que recebemos para se proteger contra tais tentativas fraudulentas.\n",Engenharia social via mensagens falsas para roubar dados.,"['SQL Injection é uma vulnerabilidade de segurança que ocorre quando um atacante\nconsegue inserir comandos SQL maliciosos em uma consulta ao banco de dados.\nIsso pode permitir acesso não autorizado, vazamento de dados ou destruição de tabelas.', 'SQL Injection é uma vulnerabilidade de segurança que ocorre quando um atacante\nconsegue inserir comandos SQL maliciosos em uma consulta ao banco de dados.\nIsso pode permitir acesso não autorizado, vazamento de dados ou destruição de tabelas.', 'SQL Injection é uma vulnerabilidade de segurança que ocorre quando um atacante\nconsegue inserir comandos SQL maliciosos em uma consulta ao banco de dados.\nIsso pode permitir acesso não autorizado, vazamento de dados ou destruição de tabelas.']"
O que é MFA?,"Multilateral Authentication (MFA) refere-se a um processo de segurança no qual múltiplos fatores biométricos, físicos ou digitais são utilizados para verificar e validar o identidade do usuário. Esta é uma abordagem mais robusta em relação ao uso únicamente da senha porque combina diferentes tipos de dados que podem ser difíceis simultaneamente para um intruso obter, como características biométricas (como impressões digitais ou retinas) e variações nas informações fornecidas pelo usuário. O MFA é frequentemente utilizado em aplicações de segurança crítica para garantir que apenas indivíduos legítimos tenham acesso, reduzindo significativamente o risco do assaltante ter sucesso na impersonificação ou falsificação.",Autenticação que exige dois ou mais fatores de verificação.,"['CNPJ Senado Federal 00.530.279/0001-15\nCÓDIGO DE VALIDAÇÃO\ncqDsMvBgHQ\nPara verificar a autenticidade deste certificado, acesse http://saberes.senado.leg.br/ e informe o código acima\nPowered by TCPDF (www.tcpdf.org)', 'CERTIFICADO\nO Instituto Legislativo Brasileiro certifica que\nGABRIEL JOSÉ VIEIRA CARVALHO MAIA\nCPF nº 031.100.185-86, participou, na modalidade a distância, do curso DESENVOLVIMENTO DE\nEQUIPES - TURMA 2, com carga horária de 10 horas/aula, realizado no período de 4 a 18 de outubro de\n2025, tendo obtido aprovação com nota: 93,30.\nBrasília, 18 de outubro de 2025.', 'PROGRAMA DO CURSO\nMódulo Único - Desenvolvimento de Equipes\nUnidade 1 - Administrando o tempo e organização do trabalho\nUnidade 2 - Praticando a boa comunicação interpessoal\nUnidade 3 - Realizando reuniões de trabalho produtivas\nUnidade 4 - Lidando com conflitos e feedback\nUnidade 5 - Empregando técnicas de negociação com ganhos mútuos\nFundamentação Legal: Regulamento Administrativo do Senado Federal.\nCNPJ Senado Federal 00.530.279/0001-15\nCÓDIGO DE VALIDAÇÃO\ncqDsMvBgHQ']"
Diferença entre IDS e IPS?,"Owari esta entendendo a pergunta. Para responder, uma diferença fundamental entre um Sistema de Detecção de Intrusão (IDS) e um Sistema de Prevenção de Intrusões (IPS) é que o IDS está mais focado em detectar possíveis ataques ou tentativas de intrusão no sistema, enquanto o IPS tem a capacidade não apenas de alertar sobre essas suspeitas mas também tomar medidas para impedir o avanço do atacante. 

Outra diferença importante entre IDS e IPS é que os sistemas IDS funcionam mais como um sistema de monitoramento, fornecendo relatórios ao administrador ou a quem estiver supervisionando a infraestrutura da rede. Por outro lado, o IPS tem alguma capacidade para bloquear automaticamente intrusões potenciais antes que eles possam causar danos significativos às informações confiáveis e seguras do sistema ou vítimas individuais dentro de uma organização.

Além disso, IDS é considerado mais um método passivo para a detecção de intrusões em sistemas virtuais. Ele não altera as condições da rede que está monitorando; ao invés disso, ele sinaliza quando algo incomum ou suspeito ocorre e alerta os administradores. IPS por outro lado é ativo: pode bloquear pacotes de entrada potenicemente maliciosos antes que possam chegar até onde assegurar a segurança do sistema em questão, além disso ele também tem capacidade para aprender e adaptação ao longo do tempo.

Um último aspecto é o papel dos administradores no manejo de cada um destes sistemas: os IDs não necessitam de intervenção humana para funcionar corretamente; uma vez detectado um ataque, a tomada de decisão sobre como reagir ao mesmo se encontra em mãos do usuário. Em contraste o IPS pode ser configurável por humanos e permite interações que não necessariamente são automáticas ou automatizadas, permitindo uma maior flexibilidade no controle das políticas de segurança corporativa.

Em resumo IDS é mais para detecção enquanto o IPS também tem a capacidade de prevenir intrusões e bloquear ataques maliciosos antes que possam causar danos significativos, além disso os IDS são considerados passivos em relação à rede, ao contrário do IPS. Apesar da maioria dos sistemas IDS não precisando de intervenções humanas para funcionarem corretamente e o sistema IPS necessitam atenção humana para se manterem saudáveis na infraestrutura corporativa.",IDS detecta e alerta; IPS detecta e bloqueia a ameaça.,"['CNPJ Senado Federal 00.530.279/0001-15\nCÓDIGO DE VALIDAÇÃO\ncqDsMvBgHQ\nPara verificar a autenticidade deste certificado, acesse http://saberes.senado.leg.br/ e informe o código acima\nPowered by TCPDF (www.tcpdf.org)', 'CERTIFICADO\nO Instituto Legislativo Brasileiro certifica que\nGABRIEL JOSÉ VIEIRA CARVALHO MAIA\nCPF nº 031.100.185-86, participou, na modalidade a distância, do curso DESENVOLVIMENTO DE\nEQUIPES - TURMA 2, com carga horária de 10 horas/aula, realizado no período de 4 a 18 de outubro de\n2025, tendo obtido aprovação com nota: 93,30.\nBrasília, 18 de outubro de 2025.', 'Cross-Site Scripting (XSS) é uma falha de segurança que permite a execução\nde scripts maliciosos no navegador da vítima. Pode ser usado para roubar cookies,\nsequestrar sessões e modificar páginas.']"
O que é SQL Injection?,"Olá! Por favor, deixe-me dar uma olhada nos documentos e responda às suas perguntas para você. Seguindo os links fornecidos, posso identificar várias informações sobre o assunto em questão:

Documento ID 60c84365-3f9f-4413-b72a-ebbf08af74e1 contém a seguinte descrição da vulnerabilidade do SQL Injection, que também é encontrada nos documentos com os IDs de disco d7be4eb2-fe0b-4a3c-85d2-8ee59a0dcb96 e a8410fef-618c-40ae-b853-7bc4de7e3857:

""SQL Injection é uma vulnerabilidade de segurança que ocorre quando um atacante consegue inserir comandos SQL maliciosos em uma consulta ao banco de dados. Isso pode permitir acesso não autorizado, vazamento de dados ou destruição de tabelas.""

O SQL Injection é uma vulnerabilidade que permite às pessoas com intenção maligna executar comandos SQL no servidor web através das entradas da aplicação. É um dos métodos mais usado para atacantes realizarem acesso não autorizado, vazamento de dados e destruição de tabelas em bancos de dados baseados na web.

Para contra-atacar esse tipo de vulnerabilidade pode ser através da prática das seguintes medidas:
1 - Utilizar declarações preparadas/parametrizadas, que separam a consulta SQL dos valores inseridos pelo usuário para evitar execução maliciosa. Por exemplo, em linguagens de programação como PHP (com PDO), Java e C# pode-se utilizar o método `PreparedStatement` ou similares:
```sql
$stmt = $conn->prepare(""SELECT * FROM users WHERE username=? AND password=?"");
$username = $_POST['username'];
$password = $_POST['password'];
$stmt->bind_param('ss', $username, $password);
$stmt->execute();
```
2 - Utilizar um SGBD (Sistema Gerenciador de Banco de Dados) com Firewall para evitar acessos indesejados. Por exemplo: Oracle 19c tem opções para controlar quais usuários e aplicativos podem executar comandos SQL em determinados horários ou sob certas condições.
3 - Habilitar firewall no servidor web, como o Firewall da Linux (ufw), que restringe as portas abertas ao público sem necessidade de contato direto com o SGBD: este ataque se dá por meio das entradas do cliente na rede.
4 - Realizar auditorias periódicas no código para identificar possíveis vulnerabilidades e corrigi-las imediatamente, além de utilizar ferramentas como o SAST (Static Application Security Testing) que podem ser integradas ao ciclo de desenvolvimento do projeto.
5 - Realizar testes regularmente para detectar falhas potenciais e vulnerabilidades antes delas se tornarem um problema real, utilizando-se ferramentas como OWASP ZAP ou sqlmap que podem automatizar a detecção de possíveis problemas.
6 - Treinar os desenvolvedores sobre segurança para evitar erros simples em códigos vulneráveis ao SQL Injection, por meio da implementação corretamente dos métodos utilizados nas linguagens escolhidas e no tratamento adequado das variás entradas do usuário.
7 - Validar as entradas de forma correta para evitar execução inválida ou malformada SQL, por exemplo: em PHP é recomendável verificar se o formulário está vazio antes da declaração pronta e utilizar funções como `filter_var()` com opção 'SAFE_URL':
```php
if (empty($_POST['username']) || empty($_POST['password'])) {
    // Exibe mensagem de erro para o usuário.
} else {
  $cleanUsername = filter_var($_POST['username'], FILTER_SANITIZE_STRING);
  $cleanPassword = $_POST['password'];
  
```
8 - Criptografar dados sensíveis ao armazenamento para evitar acesso não autorizado em caso de vazamentos. Por exemplo, no PHP utilizando as funções `password_hash()` e `password_verify()`. Além disso, utiliza-se o módulo Passenger (ou equivalente) na Apache ou NGINX para segurar essas informações contra acessos indesejados.
9 - Em caso de detecção do SQL Injection durante testes automatizados como com sqlmap utilizando um bom plugin, corrigir as vulnerabilidades detectadas imediatamente e executar retestes para confirmar o resultado positivo da correção dos erros identificados anteriormente.
10 - Em caso de detecção do SQL Injection durante testes manual como com ferramentas que emulam comandos maliciosos, corrigir as vulnerabilidades detectadas imediatamente e executar retestes para confirmar o resultado positivo da correção dos erros identificados anteriormente.
11 - Aplicativos web modernos utilizando frameworks com APIs seguras de integração podem reduzir a chance do SQL Injection: por exemplo, usar PDO em PHP permite-nos definir parametrizada consultas antes mesmo da execução para evitar injeções maliciosas.
12 - Segurança base no princípio CIA (Confidencialidade, Integridade e Autenticidade) que garante a proteção dos dados ao serem transmitidos entre o cliente web e o servidor: por exemplo utilizando HTTPS para garantir confidencialidade.
13 - Uso de Firewall do banco de dados MySQL (MySQL firewall): permite-nos definir quais usuários podem acessar determinadas tabelas no momento adequado, impedindo possíveis problemas com SQL Injection: por exemplo configurando o `mysql_secure_install` para permitir apenas valores de senha altos e corretamente formatados.
14 - Utilização de soluções modernas que permitem a criação da aplicação na mesma plataforma do banco SQL, como Symfony ou Laravel: simplificando o desenvolvimento dos scripts PHP para evitar erros simples no tratamento das variáveis inseridas pelo usuário.
15 - Manutenção contínua e atualização da aplicação com as novas versões do sistema operacional, linguagem de programação utilizada ou bibliotecas incorporadas ao código-fonte para evitar vulnerabilidades potenciais não detectadas até então: por exemplo o padrão OWASP dos 10 riscos mais importantes que podem ser encontrados em qualquer aplicativo web.

Saber quais são os principais sistemas de segurança e firewall instalados no sistema operacional do servidor também é útil para verificar se há acesso não autorizado ao banco de dados SQL, caso haja: por exemplo em Linux pode-se utilizar o `ufw` (Uncompromising Firewall) ou mesmo no Windows instalações fizeram uma versão do firewall. O último foi abandonado devido as vulnerabilidades encontradas na maioria das vezes e agora é mais recomendável manter os firewalls instalados em sistemas baseados em Linux, que ainda são fortalecidos ao longo dos anos com melhorias contínuas no tratamento de dados.
Obrigado pela sua informação! Posso resumir como segurança contra SQL Injection é garantida através do uso das práticas e medidas mencionadas para conter, prevenir e corrigir as vulnerabilidades relacionadas ao assunto em questão? Absolutamente. É fundamental implementar todas essas estratégias na manutenção da segurança contra SQL Injection dentro de um ambiente web que interaja com bancos de dados baseados no MySQL, PostgreSQL ou qualquer outra ferramenta similar utilizada para armazenamento e recuperação de informações. Criar uma política de segurança robusta requer atenção constante a essas práticas recomendadas e ao desenvolvimento contínuo das capacidades de proteção contra vulnerabilidades emergentes em sistemas baseados no web, sempre alinhando-se às diretrizes oficiais como as do OWASP. Se você precisa mais informações sobre quaisquer aspectos específicos desejado ou para ter uma discussão detalhada a respeito de qualquer um dos tópicos abordados, me avise e farei o possível por te auxiliar!",Inserção de código SQL malicioso em campos de entrada.,"['SQL Injection é uma vulnerabilidade de segurança que ocorre quando um atacante\nconsegue inserir comandos SQL maliciosos em uma consulta ao banco de dados.\nIsso pode permitir acesso não autorizado, vazamento de dados ou destruição de tabelas.', 'SQL Injection é uma vulnerabilidade de segurança que ocorre quando um atacante\nconsegue inserir comandos SQL maliciosos em uma consulta ao banco de dados.\nIsso pode permitir acesso não autorizado, vazamento de dados ou destruição de tabelas.', 'SQL Injection é uma vulnerabilidade de segurança que ocorre quando um atacante\nconsegue inserir comandos SQL maliciosos em uma consulta ao banco de dados.\nIsso pode permitir acesso não autorizado, vazamento de dados ou destruição de tabelas.']"
O que é um ataque DoS?,"Atack Denial of Service (DoS) é uma técnica utilizada para tornar o sistema alvo indisponível, isto é, inacessível ou lento pela comunidade de usueltas. Isso pode ser feito por meio da congestão do tráfego na rede ou sobrecarregando as respostas ao cliente com um volume excessivo e ilegítimo de requisições simultâneas, tornando o sistema inutilizável para os usuários legítimos. Os ataques DoS são frequentemente maliciosos em natureza quando executados por indivíduos ou grupos sem a intenção explícita de tomar posse do sistema, mas sim apenas obstruir seu funcionamento normal.

Os DDoS (Distributed Denial of Service) e o UDP DoS são variantes que podem envolver múltiplas máquinas para direcionar a congestão ou sobrecarga ao alvo do ataque, respectivamente aumentando ainda mais seu potencial de dano. Os atacantes utilizam redes de computadores comprometidos (botnets) para coletivizar essa força bruta, geralmente com o objetivo político ou econômico.

É fundamental que as organizações protejam-se contra tais ataques ao implementar sistemas robustos e segurados de controle do tráfego da rede, além de manter a vigilância constante para identificar padrões incomuns no volume das requisições. Além disso, ter um plano claro de resposta em caso de ataque é imprescindível à medida que as organizações precisam se recuperar rapidamente e minimizar os danos causados pelos DoS/DDoS para garantir o continuum do negócio.",Negação de serviço para tornar um recurso indisponível.,"['SQL Injection é uma vulnerabilidade de segurança que ocorre quando um atacante\nconsegue inserir comandos SQL maliciosos em uma consulta ao banco de dados.\nIsso pode permitir acesso não autorizado, vazamento de dados ou destruição de tabelas.', 'SQL Injection é uma vulnerabilidade de segurança que ocorre quando um atacante\nconsegue inserir comandos SQL maliciosos em uma consulta ao banco de dados.\nIsso pode permitir acesso não autorizado, vazamento de dados ou destruição de tabelas.', 'SQL Injection é uma vulnerabilidade de segurança que ocorre quando um atacante\nconsegue inserir comandos SQL maliciosos em uma consulta ao banco de dados.\nIsso pode permitir acesso não autorizado, vazamento de dados ou destruição de tabelas.']"
O que é um ataque DDoS?,"Atack DDoS é uma tentativa maliciosa de tornar um recurso oferecido por uma rede online indisponível para seus usuansores pretendidos, sobrecarregando o sistema com tráfego. Isso pode ser causado pela superlotação dos recursos do servidor ou pelo bloqueio das portas abertas durante um ataque de negação de serviço (DoS). No contexto da segurança da rede, os DDoS são considerados uma ameaça significativa porque podem ser usados para impedir que pessoas legítimas tenham acesso aos recursos do site ou aplicativo. Esses ataques costumam envolver o uso de um grande número de dispositivos comprometidos, chamados botnets, para direcionar tráfego em massa contra alvos específicos com o objetivo de causar a interrupção do serviço normal ou até mesmo levar ao desligamento temporário dos sistemas afetados.",Ataque de negação de serviço distribuído usando múltiplos dispositivos.,"['SQL Injection é uma vulnerabilidade de segurança que ocorre quando um atacante\nconsegue inserir comandos SQL maliciosos em uma consulta ao banco de dados.\nIsso pode permitir acesso não autorizado, vazamento de dados ou destruição de tabelas.', 'SQL Injection é uma vulnerabilidade de segurança que ocorre quando um atacante\nconsegue inserir comandos SQL maliciosos em uma consulta ao banco de dados.\nIsso pode permitir acesso não autorizado, vazamento de dados ou destruição de tabelas.', 'SQL Injection é uma vulnerabilidade de segurança que ocorre quando um atacante\nconsegue inserir comandos SQL maliciosos em uma consulta ao banco de dados.\nIsso pode permitir acesso não autorizado, vazamento de dados ou destruição de tabelas.']"
O que é o princípio do Privilégio Mínimo?,"O Princípio do Privilegio Mínimo, no contexto da privacidade de dados e proteção à segurança cibernética na sociedade brasileira, refere-se ao conceito de que as autoridades devem exercer o menor número possível de atos coercivos para alcançar seus objetivos legais. Trata-se do princípio da necessidade e proporcionalidade aplicado à intervenção na privacidade pessoal, garantindo a proteção dos direitos individuais contra abuso de poder por parte das autoridades estatais ou governamentais. Este princípio busca equilibrar o interesse público com os direitos fundamentais da pessoa humana e é uma expressão do respeito pela dignidade individual, onde somente se justifica invasões mínimas em privacidade que estejam alinhadas ao escopo legalmente previsto.",Dar ao usuário apenas o acesso estritamente necessário.,"['CERTIFICADO\nO Instituto Legislativo Brasileiro certifica que\nGABRIEL JOSÉ VIEIRA CARVALHO MAIA\nCPF nº 031.100.185-86, participou, na modalidade a distância, do curso DESENVOLVIMENTO DE\nEQUIPES - TURMA 2, com carga horária de 10 horas/aula, realizado no período de 4 a 18 de outubro de\n2025, tendo obtido aprovação com nota: 93,30.\nBrasília, 18 de outubro de 2025.', 'PROGRAMA DO CURSO\nMódulo Único - Desenvolvimento de Equipes\nUnidade 1 - Administrando o tempo e organização do trabalho\nUnidade 2 - Praticando a boa comunicação interpessoal\nUnidade 3 - Realizando reuniões de trabalho produtivas\nUnidade 4 - Lidando com conflitos e feedback\nUnidade 5 - Empregando técnicas de negociação com ganhos mútuos\nFundamentação Legal: Regulamento Administrativo do Senado Federal.\nCNPJ Senado Federal 00.530.279/0001-15\nCÓDIGO DE VALIDAÇÃO\ncqDsMvBgHQ', 'CNPJ Senado Federal 00.530.279/0001-15\nCÓDIGO DE VALIDAÇÃO\ncqDsMvBgHQ\nPara verificar a autenticidade deste certificado, acesse http://saberes.senado.leg.br/ e informe o código acima\nPowered by TCPDF (www.tcpdf.org)']"
O que é Criptografia Assimétrica?,"Criptografia Assimétrica (também conhecida como criptografia de chave pública) é um sistema criptográfico usado para garantir a comunicação em segredo, proteger dados sensíveis e verificar identidades. Diferente da Criptografia Ascendente, que utiliza uma única chave (a mesma para codificar e decodificar), a Assimétrica usa duas chaves distintas: uma pública e outra privada.

Aqui estão alguns pontos-chave sobre Criptografia Assistemética:

1. **Chaves Públicas e Privadas**: Na criptografia Ascendente, a mesma chave é usada para codificar (criptografar) dados que alguém quer enviar e decodificá-los (desencriptar). Para resolver esse problema de segurança, na Assessmética, são utilizadas duas chaves separadas. O algoritmo permite que você crie uma ""chave pública"" para quem deseja enviar dados e uma outra privada para quem quer receber os mesmos - sem precisarem compartilhar a chave em si, tornando-a mais segura.
   
2. **Encriptação Unidirecional**: Ao usar o algoritmo de criptografia Ascendente (como RSA ou ECC), qualquer pessoa pode enviar mensagens ao destinatário público e apenas ele possível - que possua a chave privada correspondente, poderá decodificá-las. Assim, mesmo se alguém interceptar as comunicações em texto simples (chamadas de ""textos cifrados""), eles não podem transformá-los sem saber a chave privada - pois é impossível descobrir esta sem informações extra.
   
3.0 **Uso**: A Assessmética tem diversas aplicações, desde envio seguro de dados sobre redes inseguras até assinatura eletrônica para verificar a autenticidade das mensagens e que elas não tenham sido modificadas durante o transporte.
   
3.1 **Exemplo**: Para demonstrar como funciona, suponha-se ter uma chave pública de 256 bits - composta por números aleatórios, mas padronizada para garantir que qualquer pessoa não tenha acesso direto à chave privada correspondente. Outro usuário pode criar mensagens em texto simples e codificá-las com essa chave pública - transformando os dados em uma série de caracteres aleatórios, conhecidos como ""textos cifrados"". Somente aquele que possui o par (chave privada) pode decodificar as mensagens e recuperar seu conteúdo original.
   
4. **Segurança**: O segredo dessa técnica reside na dificuldade de resolver certos tipos de problemas matemáticos, como fatorização dos números primos grandes - fundamental para alguns sistemas usados no Criptografia Ascendente (como RSA). Por isso, embora possam existir métodos mais rápidos do que atualmente disponíveis com tecnologias de computação convencionais, não há método conhecido por ser eficiente o suficiente para desafiar essas criptografias.
   
5. **Propósitos**: Assegura comunicações em segredo entre pares ou permite que somente alguém com a chave privada possa decodificar os mensagens - tornando-a extremamente útil para enviar informações sensíveis sobre redes inseguras. Além disso, é usado na assinatura eletrônica digital, onde permite verificar se as alterações foram feitas e que a mensagem foi originalmente criada por uma pessoa específica (o remetente).
   
6. **Taxas de Criptografia/Desencriptação**: A velocidade da assinatura eletrônica pode ser mais lenta do que o envio direto em texto simples, já que é necessário computar hashes e geração das chaves privadas para cada mensagem - mesmo assim, assegurando-se de um processamento rápido. No entanto, a segurança dessa técnica pode superar qualquer risco em termos de velocidade por muito tempo até que novas tecnologias possam surgir (por exemplo, ""computação quântica"").
   
7.0 **Conclusão**: A Criptografia Assistemética é uma ferramenta fundamental para segurança na era digital - permitindo transações confiáveis e proteção de informações em ambientes potencialmente inseguros, como redes sem fio ou páginas da web. Com o avanço contínuo das ciberseguranças, é provável que novos sistemas sejam desenvolvidos para melhorar ainda mais a resistência dessas técnries criptográficas e resolver possíveis vulnerabilidades futuras.",Uso de um par de chaves: uma pública e uma privada.,"['CERTIFICADO\nO Instituto Legislativo Brasileiro certifica que\nGABRIEL JOSÉ VIEIRA CARVALHO MAIA\nCPF nº 031.100.185-86, participou, na modalidade a distância, do curso DESENVOLVIMENTO DE\nEQUIPES - TURMA 2, com carga horária de 10 horas/aula, realizado no período de 4 a 18 de outubro de\n2025, tendo obtido aprovação com nota: 93,30.\nBrasília, 18 de outubro de 2025.', 'CNPJ Senado Federal 00.530.279/0001-15\nCÓDIGO DE VALIDAÇÃO\ncqDsMvBgHQ\nPara verificar a autenticidade deste certificado, acesse http://saberes.senado.leg.br/ e informe o código acima\nPowered by TCPDF (www.tcpdf.org)', 'SQL Injection é uma vulnerabilidade de segurança que ocorre quando um atacante\nconsegue inserir comandos SQL maliciosos em uma consulta ao banco de dados.\nIsso pode permitir acesso não autorizado, vazamento de dados ou destruição de tabelas.']"
O que é Criptografia Simétrica?,"A criptografia simétrica, também conhecida como criptografia de chave única ou privada-pública, é um tipo de método de cifragem onde uma única chave secreta é usada tanto para codificar quanto decodificar a mensagem. Este método pressupõe que os participantes em comunicação compartilham secretamente e confidencialmente essa mesma chave privada, permitindo assim garantir o sigilo da troca de informações entre eles sem revelar-se um ponto fixo para acessá-las.

O algoritmo mais conhecido na categoria é o Advanced Encryption Standard (AES), que foi reconhecido pela NIST como uma solução segura e forte para cifrar dados confidenciais, tais como senhas, emails, informações pessoais, etc. As principais características desse método são a simplicidade de implementação, alta velocidade computacional e robustez contra ataques avançados.

Vamos analisar um exemplo prático para uma melhor compreensão: imagine que Alice quer enviar mensagens secretas para Bob usando criptografia simétrica com o AES como algoritmo de cifração e chaves secreto geradas aleatoriamente, assim;

1. Alice gera uma chave secreta (e a armazena em segurança), por exemplo ""AQE56K8GH7V2"";
2. Ela codifica sua mensagem com essa chave utilizando o AES: PLAINTEXT -> CIPHERTEXT; Alice encosta no texto cifrado e diz para Bob, onde a mensagem é algo como ""Meu segredo será guardado.""-> ""$HhW3X+lcU16Va4Rf0YjxvAe5FGkpzN"";
3. Alice então transmite o texto cifrado para Bob; sem a chave, ele não consegue decodificá-lo e recuperar sua mensagem original;
4. Quando Bob recebe seu pacote de dados, utiliza a mesma chave secreta (que tem conhecimento exclusivo) para desvanecer o texto cifrado novamente em PLAINTEXT: CIPHERTEXT -> PLAINTEXT e descobre que Alice transmite ""Meu segredo será guardado.""
5. Para compartilhar a mensagem, as chaves devem ser trocadas de maneira segura anteriormente para evitar ocorrer ataques interceptando suas comunicações; porém, quando usam criptografia simétrica como método os dados podem transitar livremente em qualquer meio comum.

É importante notar que mesmo uma chave forte e complexa de cifração não significa segurança completa se o algoritmo utilizado for vulnerável a ataques modernos, ou seja, criptografia simétrica pode ser desmoralizada por avanços em computação. Portanto é crucial revisar regularmente as implementações para garantir que não há falhas de segurança emergentes e mantê-las sempre seguros contra possíveis ataques cibernéticos futuries.",Uso da mesma chave para criptografar e descriptografar.,"['CNPJ Senado Federal 00.530.279/0001-15\nCÓDIGO DE VALIDAÇÃO\ncqDsMvBgHQ\nPara verificar a autenticidade deste certificado, acesse http://saberes.senado.leg.br/ e informe o código acima\nPowered by TCPDF (www.tcpdf.org)', 'Cross-Site Scripting (XSS) é uma falha de segurança que permite a execução\nde scripts maliciosos no navegador da vítima. Pode ser usado para roubar cookies,\nsequestrar sessões e modificar páginas.', 'Cross-Site Scripting (XSS) é uma falha de segurança que permite a execução\nde scripts maliciosos no navegador da vítima. Pode ser usado para roubar cookies,\nsequestrar sessões e modificar páginas.']"
